Nimi,Puolue,Luottamuselin teksti,Alku,Loppu,Luottamuselimen asema
Hovikoski Mervi,SDP,Perusturvalautakunta,08.12.2008,31.12.2012,Jäsen
Hovikoski Mervi,SDP,Laajennettu puheenjohtajisto,01.01.2009,31.12.2012,Jäsen
Hovikoski Mervi,SDP,Vanhusneuvosto,01.01.2009,31.12.2012,Edustaja
Hovikoski Mervi,SDP,Ympäristöterveysjaosto,22.01.2009,31.12.2012,Jäsen
Hovikoski Mervi,SDP,Maakuntavaltuusto,11.03.2009,31.12.2012,Jäsen
Hovikoski Mervi,SDP,Terveydenhuollon jaosto,18.11.2010,31.12.2012,Jäsen
Hovikoski Mervi,SDP,Jyväskylän Seudun Työterveyden jk,01.04.2011,31.12.2012,Henkilökohtainen varajäsen
Hovikoski Mervi,SDP,Päivähoito- ja varhaiskasvatustoimikunta,01.01.2012,31.12.2012,Varapuheenjohtaja
Hujala Jari,EI,Korpilahden aluelautakunta,08.12.2008,31.12.2012,Henkilökohtainen varajäsen
Hukka Hannu,VAS,4. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Hukka Hannu,VAS,4. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Hukka Hannu,VAS,4. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Hult Tapio,VAS,Terveydenhuollon jaosto,18.11.2010,31.12.2012,Jäsen
Huntus Lasse,KOK,5. Vaalitoimikunta,27.04.2009,07.06.2009,Varapuheenjohtaja
Huntus Lasse,KOK,5. Vaalitoimikunta,24.03.2011,17.04.2011,Varapuheenjohtaja
Huntus Lasse,KOK,5. Vaalitoimikunta,08.12.2011,05.02.2012,Varapuheenjohtaja
Huntus Lasse,KOK,Yksilöhuoltojaosto/Sos.ja.terv.ltk,22.01.2009,31.12.2012,Henkilökohtainen varajäsen
Huntus Leena,KOK,24. Vaalilautakunta,27.04.2009,07.06.2009,5. varajäsen
Huntus Leena,KOK,24. Vaalilautakunta,24.03.2011,17.04.2011,Varapuheenjohtaja
Huntus Leena,KOK,24. Vaalilautakunta,08.12.2011,05.02.2012,Varapuheenjohtaja
Huttula Timo,KD,14. Vaalilautakunta,24.03.2011,17.04.2011,6. varajäsen
Huttula Timo,KD,14. Vaalilautakunta,08.12.2011,05.02.2012,6. varajäsen
Huttunen Marko,KESK,Tilapalvelun johtokunta,01.01.2009,31.12.2012,Henkilökohtainen varajäsen
Huttunen Marko,KESK,Talouspalvelukeskuksen johtokunta,19.01.2009,31.12.2012,Henkilökohtainen varajäsen
Huttunen Päivi,KOK,30. Vaalilautakunta,27.04.2009,07.06.2009,5. varajäsen
Huttunen Päivi,KOK,Palokan terv.huollon kuntayht. tark.ltk,01.01.2009,31.12.2010,Henkilökohtainen varajäsen
Huupponen Jari,VAS,26. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Huupponen Jari,VAS,26. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Huupponen Jari,VAS,26. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Huupponen Jari,VAS,Talouspalvelukeskuksen johtokunta,19.01.2009,31.12.2012,Henkilökohtainen varajäsen
Huupponen Jari,VAS,Rakennus- ja ympäristölautakunta,23.08.2011,31.12.2012,Henkilökohtainen varajäsen
Huusko Erkki,SDP,Kunnan keskusvaalilautakunta,07.07.2008,31.01.2009,Varapuheenjohtaja
Huusko Erkki,SDP,Keskusvaalilautakunta,03.11.2008,31.12.2012,Varapuheenjohtaja
Huuskonen Irmeli,SDP,Kulttuurilautakunta,08.12.2008,31.12.2010,Henkilökohtainen varajäsen
Huuskonen Irmeli,SDP,Kulttuurijaosto,01.01.2011,31.12.2012,Henkilökohtainen varajäsen
Hynynen Marjatta,SDP,16. Vaalilautakunta,27.04.2009,07.06.2009,Puheenjohtaja
Hynynen Marjatta,SDP,16. Vaalilautakunta,24.03.2011,17.04.2011,Puheenjohtaja
Hynynen Marjatta,SDP,16. Vaalilautakunta,08.12.2011,05.02.2012,Puheenjohtaja
Hynynen Marjatta,SDP,Rakennus- ja ympäristölautakunta,08.12.2008,31.12.2012,Jäsen
Hynynen Marjatta,SDP,Talouspalvelukeskuksen johtokunta,19.01.2009,31.12.2012,Jäsen
Hytti Ilkka,EI,Lukiokoulutuksen johtokunta,01.01.2005,31.12.9999,Jäsen
Hytönen Erno,KOK,Nuorisolautakunta,08.12.2008,16.11.2009,Henkilökohtainen varajäsen
Hytönen Erno,KOK,Nuorisolautakunta,17.11.2009,31.12.2010,Jäsen
Hytönen Erno,KOK,Nuorisojaosto,01.01.2011,31.12.2012,Jäsen
Hytönen Riitta,EI,Talouspalvelukeskuksen johtokunta,19.01.2009,29.03.2010,Henkilökohtainen varajäsen
Hytönen Sanna,VAS,15. Vaalilautakunta,27.04.2009,07.06.2009,6. varajäsen
Hytönen Sanna,VAS,Palokan terv.huollon kuntayht. yhtymähall.,01.01.2009,31.12.2010,Henkilökohtainen varajäsen
Hytönen Sanna,VAS,15. Vaalilautakunta,24.03.2011,17.04.2011,6. varajäsen
Hytönen Sanna,VAS,15. Vaalilautakunta,08.12.2011,05.02.2012,6. varajäsen
Hytönen Seppo,KESK,Rakennus- ja ympäristölautakunta,01.01.2005,31.12.2009,Jäsen
Hytönen Seppo,KESK,Tilapalvelun johtokunta,01.01.2009,31.12.2012,Henkilökohtainen varajäsen
Hytönen Veli,EI,Kiinteistötoimitusten uskotut miehet,12.01.2009,14.05.2012,Jäsen
Hyytiälä Erkki,KESK,Rakennus- ja ympäristölautakunta,08.12.2008,31.12.2012,Henkilökohtainen varajäsen
Hyytiälä Erkki,KESK,Ympäristöterveysjaosto,22.01.2009,31.12.2012,Henkilökohtainen varajäsen
Hyytiälä Erkki,KESK,Käräjäoikeuden lautamiehet,01.04.2009,31.12.2012,Jäsen
Hyödynmaa Mia,EI,"Kulttuuri-, liikunta- ja nuorisolautakunta",01.11.2011,31.12.2012,Henkilökohtainen varajäsen
Hård-Janhonen Anne-Mari,EI,Sotepa/Vammaisneuvosto,01.01.2009,31.12.2012,Puheenjohtaja
Häkkinen Pentti,SDP,Perusturvalautakunta,08.12.2008,31.12.2012,Henkilökohtainen varajäsen
Häkkinen Pentti,SDP,Ympäristöterveysjaosto,22.01.2009,31.12.2012,Jäsen
Häkkinen Pentti,SDP,Terveydenhuollon jaosto,18.11.2010,31.12.2012,Henkilökohtainen varajäsen
Hälikkä Sohvi,SDP,28. Vaalilautakunta,27.04.2009,07.06.2009,Puheenjohtaja
Hälikkä Sohvi,SDP,28. Vaalilautakunta,24.03.2011,17.04.2011,Puheenjohtaja
Hämäläinen Heikki,KOK,"K-S:n pelastuslaitos, liikelaitoksen johtokunta",01.01.2009,31.12.2012,Jäsen
Hämäläinen Jukka,SDP,3. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Hämäläinen Jukka,SDP,Kaupunginvaltuusto,03.11.2008,17.05.2010,16. varajäsen
Hämäläinen Jukka,SDP,Kulttuurilautakunta,08.12.2008,31.12.2010,Jäsen
Hämäläinen Jukka,SDP,3. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Hämäläinen Jukka,SDP,Kaupunginvaltuusto,18.05.2010,06.06.2011,15. varajäsen
Hämäläinen Jukka,SDP,3. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Hämäläinen Jukka,SDP,"Kulttuuri-, liikunta- ja nuorisolautakunta",01.01.2011,31.12.2012,Jäsen
Hämäläinen Jukka,SDP,Nuorisojaosto,01.01.2011,31.12.2012,Varapuheenjohtaja
Hämäläinen Jukka,SDP,Laajennettu puheenjohtajisto,01.01.2011,31.12.2012,Jäsen
Hämäläinen Jukka,SDP,Kaupunginvaltuusto,07.06.2011,31.12.2012,14. varajäsen
Hämäläinen Jukka,SDP,Joukkoliikennelautakunta,01.01.2012,31.12.2012,Varapuheenjohtaja
Hämäläinen Jyri,EI,34. Vaalilautakunta,08.12.2011,05.02.2012,6. varajäsen
Hämäläinen Mirja,SDP,25. Vaalilautakunta,24.03.2011,17.04.2011,2. varajäsen
Hämäläinen Mirja,SDP,25. Vaalilautakunta,08.12.2011,05.02.2012,2. varajäsen
Hämäläinen Silja,VAS,Nuorisolautakunta,11.05.2009,07.06.2010,Henkilökohtainen varajäsen
Hämäläinen Taina,KESK,17. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Hämäläinen Taina,KESK,Jyväskylän Seudun Työterveyden jk,19.01.2009,12.10.2009,Jäsen
Hänninen Leena,EI,Vanhusneuvosto,01.01.2009,31.12.2012,Varajäsen
Hänninen Rauno,KESK,28. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Hänninen Rauno,KESK,28. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Hänninen Rauno,KESK,33. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Hänninen Rauno,KESK,K-S shp:n kuntayhtymän yhtymävaltuusto,12.01.2009,31.12.2012,Henkilökohtainen varajäsen
Hänninen Rauno,KESK,Perusturvalautakunta,28.08.2012,31.12.2012,Henkilökohtainen varajäsen
Hölttä Atte,EI,Lukiokoulutuksen johtokunta,01.08.2006,31.12.9999,Jäsen
Ignatius Jari,KD,29. Vaalilautakunta,27.04.2009,07.06.2009,1. varajäsen
Ihalainen Terttu,VIHR,2. Vaalitoimikunta,27.04.2009,07.06.2009,1. varajäsen
Ihalainen Terttu,VIHR,5. Vaalilautakunta,27.04.2009,07.06.2009,1. varajäsen
Ihalainen Terttu,VIHR,6. Vaalilautakunta,24.03.2011,17.04.2011,5. varajäsen
Ihalainen Terttu,VIHR,2. Vaalitoimikunta,24.03.2011,17.04.2011,1. varajäsen
Ihalainen Terttu,VIHR,6. Vaalilautakunta,08.12.2011,05.02.2012,5. varajäsen
Ihalainen Terttu,VIHR,2. Vaalitoimikunta,08.12.2011,05.02.2012,1. varajäsen
Iivari Päivi,EI,Huhtarinteen koulun jk,01.01.2005,31.12.9999,Jäsen
Ijäs Jorma,KESK,27. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Ijäs Jorma,KESK,27. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Ikkala Markku,KOK,6. Vaalilautakunta,27.04.2009,07.06.2009,Varapuheenjohtaja
Ikkala Markku,KOK,K-S opiskelija-asuntosäätiön valtuuskunta,01.01.2008,31.12.2009,Jäsen
Ikkala Markku,KOK,6. Vaalilautakunta,24.03.2011,17.04.2011,Varapuheenjohtaja
Ikkala Markku,KOK,K-S opiskelija-asuntosäätiön valtuuskunta,01.01.2010,31.12.2011,Jäsen
Ikkala Markku,KOK,6. Vaalilautakunta,08.12.2011,05.02.2012,Varapuheenjohtaja
Ikonen Anja,VAS,30. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Ikonen Anja,VAS,30. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Ikonen Anja,VAS,30. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Ikonen Laura,EI,8. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Ikonen Laura,EI,8. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Ilkka Päivi,KOK,Kunnan keskusvaalilautakunta,07.07.2008,31.01.2009,6. varajäsen
Ilkka Päivi,KOK,27. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Ilkka Päivi,KOK,27. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Ilkka Päivi,KOK,Keskusvaalilautakunta,03.11.2008,31.12.2012,Varajäsen
Illman Hilkka,SDP,11. Vaalilautakunta,27.04.2009,07.06.2009,Varapuheenjohtaja
Illman Hilkka,SDP,Jyväskylän Vuokra-asunnot Oy:n hallitus,01.01.2009,31.12.2009,Jäsen
Illman Hilkka,SDP,Jyväskylän Vuokra-asunnot Oy:n hallitus,01.01.2010,31.12.2010,Jäsen
Illman Hilkka,SDP,11. Vaalilautakunta,24.03.2011,17.04.2011,Varapuheenjohtaja
Illman Hilkka,SDP,Jyväskylän Vuokra-asunnot Oy:n hallitus,01.01.2011,31.12.2011,Jäsen
Illman Hilkka,SDP,11. Vaalilautakunta,08.12.2011,05.02.2012,Varapuheenjohtaja
Ilmola Ilona,SDP,20. Vaalilautakunta,27.04.2009,07.06.2009,3. varajäsen
Ilmola Ilona,SDP,20. Vaalilautakunta,24.03.2011,17.04.2011,3. varajäsen
Ilmola Ilona,SDP,20. Vaalilautakunta,08.12.2011,05.02.2012,3. varajäsen
Ilmola Sari,SDP,Sivistyslautakunta,08.12.2008,17.01.2011,Henkilökohtainen varajäsen
Ilmonen Kari,KESK,Kaupunginvaltuusto,03.11.2008,17.01.2011,12. varajäsen
Ilmonen Kari,KESK,Kaupunginvaltuusto,18.01.2011,31.12.2012,11. varajäsen
Ilmonen Kari,KESK,Laajennettu puheenjohtajisto,20.09.2011,31.12.2012,Jäsen
Ilmonen Kari,KESK,Maaseutulautakunta,20.09.2011,31.12.2012,Puheenjohtaja
Ilmonen Marjo-Riikka,KD,3. Vaalilautakunta,24.03.2011,17.04.2011,1. varajäsen
Ilmonen Marjo-Riikka,KD,3. Vaalilautakunta,08.12.2011,05.02.2012,1. varajäsen
Ilmoniemi Anita,KESK,35. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Immonen Kati,KESK,Jyväskylän Seudun Työterveyden jk,01.04.2011,31.12.2012,Jäsen
Isomäki Kauko,SDP,K-S liiton kuntayhtymän edustajainkokous,12.01.2009,10.03.2009,Jäsen
Isomäki Kauko,SDP,20. Vaalilautakunta,27.04.2009,07.06.2009,1. varajäsen
Isomäki Kauko,SDP,20. Vaalilautakunta,24.03.2011,17.04.2011,2. varajäsen
Isomäki Kauko,SDP,Ilmasto-ohjelmatyön ohjausryhmä,13.09.2010,22.08.2011,Varapuheenjohtaja
Isomäki Kauko,SDP,20. Vaalilautakunta,08.12.2011,05.02.2012,2. varajäsen
Isomäki Kauko,SDP,Kaupunginvaltuusto,03.11.2008,31.12.2012,Jäsen
Isomäki Kauko,SDP,Rakennus- ja ympäristölautakunta,08.12.2008,31.12.2012,Varapuheenjohtaja
Isomäki Kauko,SDP,Laajennettu puheenjohtajisto,01.01.2009,31.12.2012,Jäsen
Isomäki Kauko,SDP,Maakuntavaltuusto,11.03.2009,31.12.2012,Jäsen
Isomöttönen Katja,KOK,31. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Isomöttönen Katja,KOK,Kaupunginvaltuusto,03.11.2008,31.07.2010,2. varajäsen
Isomöttönen Katja,KOK,Perusturvalautakunta,08.12.2008,21.02.2011,Jäsen
Isomöttönen Katja,KOK,Sotepa/Vammaisneuvosto,01.01.2009,17.03.2011,Henkilökohtainen varajäsen
Isomöttönen Katja,KOK,Päivähoito- ja varhaiskasvatusjaosto,22.01.2009,17.03.2011,Puheenjohtaja
Isomöttönen Katja,KOK,32. Vaalilautakunta,24.03.2011,17.04.2011,Puheenjohtaja
Isomöttönen Katja,KOK,Päivähoito- ja varhaiskasvatusjaosto,29.04.2011,31.12.2011,Jäsen
Isomöttönen Katja,KOK,32. Vaalilautakunta,08.12.2011,05.02.2012,Puheenjohtaja
Isomöttönen Katja,KOK,Laajennettu puheenjohtajisto,01.01.2009,31.12.2012,Jäsen
Isomöttönen Katja,KOK,Organisaatiotoimikunta,15.02.2010,31.12.2012,Jäsen
Isomöttönen Katja,KOK,Kaupunginvaltuusto,01.08.2010,31.12.2012,Jäsen
Isomöttönen Katja,KOK,Sivistyslautakunta,22.02.2011,31.12.2012,"Pj/krp-,perust-,siv-ja tark"
Isomöttönen Katja,KOK,Päivähoito- ja varhaiskasvatustoimikunta,01.01.2012,31.12.2012,Jäsen
Isomöttönen Teemu,KOK,32. Vaalilautakunta,27.04.2009,07.06.2009,3. varajäsen
Isännäinen Henry,PS,8. Vaalilautakunta,26.03.2011,17.04.2011,5. varajäsen
Isännäinen Henry,PS,8. Vaalilautakunta,08.12.2011,05.02.2012,5. varajäsen
Itkonen Asko,EI,Jyväskylän Seudun Työterveyden jk,19.01.2009,31.03.2011,Henkilökohtainen varajäsen
Itkonen Asko,EI,Jyväskylän Seudun Työterveyden jk,01.04.2011,05.06.2011,Henkilökohtainen varajäsen
Itälä Riina,SDP,Nuorisolautakunta,08.12.2008,31.12.2012,Henkilökohtainen varajäsen
Itälä Riina,SDP,Nuorisojaosto,01.01.2011,31.12.2012,Henkilökohtainen varajäsen
Jaakkola Mika,EI,29. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Jaakkola Mika,EI,29. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Jaakkola Mika,EI,29. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Jaakkola Tina,KOK,31. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Jaakkola Tina,KOK,31. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Jaakkola Tina,KOK,Nuorisojaosto,01.11.2011,31.12.2012,Henkilökohtainen varajäsen
Jaala Pihla,EI,Kilpisen alueen aluejk,01.09.2008,31.05.2009,
Janhunen Petri,VAS,1. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Janhunen Petri,VAS,1. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Jauhiainen Juha,VAS,3. Vaalilautakunta,27.04.2009,07.06.2009,Puheenjohtaja
Jauhiainen Juha,VAS,3. Vaalilautakunta,24.03.2011,17.04.2011,Puheenjohtaja
Jauhiainen Juha,VAS,3. Vaalilautakunta,08.12.2011,05.02.2012,Puheenjohtaja
Jauhiainen Signe,KOK,3. Vaalilautakunta,27.04.2009,07.06.2009,5. varajäsen
Jauhiainen Signe,KOK,Tarkastuslautakunta,01.01.2009,20.09.2010,Jäsen
Jauhiainen Signe,KOK,Tarkastuslautakunta/I-jaosto,02.02.2009,20.09.2010,Jäsen
Jokinen Anneli,EI,Talouspalvelukeskuksen johtokunta,19.01.2009,31.12.2012,Jäsen
Jokinen Anneli,EI,Talouspalvelukeskuksen johtokunta,19.01.2009,31.12.2012,Jäsen
Jokinen Kari,VAS,Jyväskylän Seudun Työterveyden jk,19.01.2009,31.03.2011,Jäsen
Jokinen Kari,VAS,Vanhusneuvosto,01.01.2009,31.12.2012,Varajäsen
Jokinen Riikka,SDP,38. Vaalilautakunta,24.03.2011,17.04.2011,Varapuheenjohtaja
Jokinen Riikka,SDP,38. Vaalilautakunta,08.12.2011,05.02.2012,Varapuheenjohtaja
Jokinen Veera,EI,Säynätsalon alueen aluejk,11.08.2008,30.05.2009,
Juka Aira,KOK,10. Vaalilautakunta,24.03.2011,17.04.2011,7. varajäsen
Juka Aira,KOK,10. Vaalilautakunta,08.12.2011,05.02.2012,7. varajäsen
Juka Maria,KOK,10. Vaalilautakunta,27.04.2009,07.06.2009,7. varajäsen
Juka Maria,KOK,7. Vaalilautakunta,08.12.2011,05.02.2012,Varapuheenjohtaja
Juka Maria,KOK,Talouspalvelukeskuksen johtokunta,19.01.2009,31.12.2012,Jäsen
Jukarainen Mauri,SKP,8. Vaalilautakunta,27.04.2009,07.06.2009,1. varajäsen
Jukarainen Mauri,SKP,3. Vaalilautakunta,24.03.2011,17.04.2011,2. varajäsen
Jukarainen Mauri,SKP,3. Vaalilautakunta,08.12.2011,05.02.2012,2. varajäsen
Julkunen Sonja,EI,30. Vaalilautakunta,08.12.2011,05.02.2012,5. varajäsen
Jussila Kari,KOK,K-S shp:n kuntayhtymän yhtymävaltuusto,24.01.2012,31.12.2012,Jäsen
Jussila Petri,SDP,11. Vaalilautakunta,27.04.2009,07.06.2009,6. varajäsen
Jussila Petri,SDP,Korpilahden-Muuramen terv.huollon kuntayht. yhtymähall.,01.01.2009,31.12.2010,Henkilökohtainen varajäsen
Jussila Petri,SDP,11. Vaalilautakunta,24.03.2011,17.04.2011,6. varajäsen
Jussila Petri,SDP,11. Vaalilautakunta,08.12.2011,05.02.2012,6. varajäsen
Jussila Petri,SDP,Tulevaisuus- ja kaupunkisuunnittelulautakunta,08.12.2008,31.12.2012,Henkilökohtainen varajäsen
Juujärvi tiina,KESK,15. Vaalilautakunta,27.04.2009,07.06.2009,Varapuheenjohtaja
Juusela Jukka,KESK,Kunnan keskusvaalilautakunta,07.07.2008,31.01.2009,Jäsen
Juusela Jukka,KESK,Keskusvaalilautakunta,03.11.2008,31.12.2012,6. varajäsen
Juusela Sirkka-Liisa,KESK,3. Vaalitoimikunta,27.04.2009,07.06.2009,Jäsen
Juusela Sirkka-Liisa,KESK,3. Vaalitoimikunta,24.03.2011,17.04.2011,Jäsen
Juusela Sirkka-Liisa,KESK,3. Vaalitoimikunta,08.12.2011,05.02.2012,Jäsen
Juutilainen Kimmo,EI,Sivistyslautakunta,08.12.2008,16.11.2009,Henkilökohtainen varajäsen
Juvonen Elvi,KESK,4. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Juvonen Elvi,KESK,Nuorisojaosto,26.01.2012,31.12.2012,Henkilökohtainen varajäsen
Juvonen Elvi,KESK,"Kulttuuri-, liikunta- ja nuorisolautakunta",28.08.2012,31.12.2012,Henkilökohtainen varajäsen
Jylänki Tomi,KOK,28. Vaalilautakunta,24.03.2011,17.04.2011,3. varajäsen
Jylänki Tomi,KOK,28. Vaalilautakunta,08.12.2011,05.02.2012,3. varajäsen
Järvenpää Briitta,KESK,1. Vaalitoimikunta,24.03.2011,17.04.2011,Jäsen
Järvenpää Briitta,KESK,1. Vaalitoimikunta,08.12.2011,05.02.2012,Jäsen
Järvinen Matti,KESK,29. Vaalilautakunta,27.04.2009,07.06.2009,Puheenjohtaja
Järvinen Matti,KESK,29. Vaalilautakunta,24.03.2011,17.04.2011,Puheenjohtaja
Järvinen Matti,KESK,29. Vaalilautakunta,08.12.2011,05.02.2012,Puheenjohtaja
Järviniemi Jukka,KOK,Rakennus- ja ympäristölautakunta,08.12.2008,12.01.2009,Jäsen
Järviniemi Jukka,KOK,39. Vaalilautakunta,27.04.2009,07.06.2009,2. varajäsen
Järviniemi Jukka,KOK,39. Vaalilautakunta,24.03.2011,17.04.2011,2. varajäsen
Järviniemi Jukka,KOK,39. Vaalilautakunta,08.12.2011,05.02.2012,2. varajäsen
Järviniemi Jukka,KOK,Kaupunkirakennelautakunta,13.01.2009,31.12.2012,Jäsen
Jääskeläinen Minna,SDP,13. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Jääskeläinen Minna,SDP,35. Vaalilautakunta,24.03.2011,17.04.2011,2. varajäsen
Jääskeläinen Minna,SDP,35. Vaalilautakunta,08.12.2011,05.02.2012,2. varajäsen
Jääskeläinen Minna,SDP,Maaseutulautakunta,08.12.2008,31.12.2012,Jäsen
Jääskeläinen Minna,SDP,Käräjäoikeuden lautamiehet,22.09.2009,31.12.2012,Jäsen
Jääskeläinen Minna,SDP,Sivistyslautakunta,13.12.2011,31.12.2012,Henkilökohtainen varajäsen
Jääskeläinen Pekka,SDP,Maaseutulautakunta,08.12.2008,31.12.2012,Henkilökohtainen varajäsen
Jääskeläinen Silja,VIHR,"K-S:n pelastuslaitos, liikelaitoksen johtokunta",01.01.2009,14.11.2011,Jäsen
Jääskö Pekka,KOK,Talouspalvelukeskuksen johtokunta,19.01.2009,31.12.2012,Henkilökohtainen varajäsen
Jääskö Pekka,KOK,Kaupunginvaltuusto,18.01.2011,31.12.2012,16. varajäsen
Kaakkuriniemi Pirjo,VAS,23. Vaalilautakunta,27.04.2009,07.06.2009,3. varajäsen
Kaakkuriniemi Pirjo,VAS,23. Vaalilautakunta,24.03.2011,17.04.2011,3. varajäsen
Kaakkuriniemi Pirjo,VAS,23. Vaalilautakunta,08.12.2011,05.02.2012,3. varajäsen
Kaakkuriniemi Tapani,VAS,23. Vaalilautakunta,27.04.2009,07.06.2009,Puheenjohtaja
Kaakkuriniemi Tapani,VAS,23. Vaalilautakunta,08.12.2011,05.02.2012,Puheenjohtaja
Kaakkuriniemi Vesa,VIHR,22. Vaalilautakunta,24.03.2011,17.04.2011,1. varajäsen
Kaakkuriniemi Vesa,VIHR,4. Vaalitoimikunta,24.03.2011,17.04.2011,3. varajäsen
Kaakkuriniemi Vesa,VIHR,22. Vaalilautakunta,08.12.2011,05.02.2012,1. varajäsen
Kaakkuriniemi Vesa,VIHR,4. Vaalitoimikunta,08.12.2011,05.02.2012,3. varajäsen
Kaarijoki Margit,VAS,27. Vaalilautakunta,27.04.2009,07.06.2009,Varapuheenjohtaja
Kaarijoki Margit,VAS,27. Vaalilautakunta,24.03.2011,17.04.2011,Varapuheenjohtaja
Kaarijoki Margit,VAS,27. Vaalilautakunta,08.12.2011,05.02.2012,Varapuheenjohtaja
Kaijanaho Antti-Juhani,VIHR,17. Vaalilautakunta,27.04.2009,07.06.2009,Varapuheenjohtaja
Kaijanaho Antti-Juhani,VIHR,Tarkastuslautakunta,01.01.2009,31.12.2012,Henkilökohtainen varajäsen
Kaijanaho Antti-Juhani,VIHR,Käräjäoikeuden lautamiehet,01.04.2009,31.12.2012,Jäsen
Kainulainen Aino,SKP,23. Vaalilautakunta,27.04.2009,07.06.2009,6. varajäsen
Kainulainen Aino,SKP,8. Vaalilautakunta,08.12.2011,05.02.2012,1. varajäsen
Kainulainen Heidi,KESK,Altek Aluetekniikan johtokunta,19.01.2009,31.12.2012,Henkilökohtainen varajäsen
Kaitera Vesa,KOK,10. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Kaján Anna-Mari,VAS,6. Vaalilautakunta,24.03.2011,17.04.2011,7. varajäsen
Kaján Anna-Mari,VAS,6. Vaalilautakunta,08.12.2011,05.02.2012,7. varajäsen
Kajannes Katriina,SDP,Työllisyysjaosto,22.01.2009,14.12.2009,Henkilökohtainen varajäsen
Kajannes Katriina,SDP,Kulttuurilautakunta,08.12.2008,31.12.2012,Henkilökohtainen varajäsen
Kalenius Tapani,KESK,25. Vaalilautakunta,27.04.2009,07.06.2009,3. varajäsen
Kalenius Tapani,KESK,Palokan terv.huollon kuntayht. tark.ltk,01.01.2009,31.12.2010,Jäsen
Kalenius Tapani,KESK,35. Vaalilautakunta,08.12.2011,05.02.2012,5. varajäsen
Kalenius Tapani,KESK,Tarkastuslautakunta,01.01.2009,27.08.2012,Henkilökohtainen varajäsen
Kalenius Tapani,KESK,Talouspalvelukeskuksen johtokunta,21.06.2011,31.12.2012,Jäsen
Kalenius Tapani,KESK,Tarkastuslautakunta,28.08.2012,31.12.2012,Jäsen
Kalho Marja,SDP,22. Vaalilautakunta,27.04.2009,07.06.2009,5. varajäsen
Kalho Marja,SDP,22. Vaalilautakunta,24.03.2011,17.04.2011,5. varajäsen
Kalho Marja,SDP,22. Vaalilautakunta,08.12.2011,05.02.2012,5. varajäsen
Kallimo Kati,KESK,32. Vaalilautakunta,27.04.2009,07.06.2009,5. varajäsen
Kallimo Kati,KESK,Ympäristöterveysjaosto,22.01.2009,20.08.2009,Jäsen
Kallimo Kati,KESK,Rakennus- ja ympäristölautakunta,08.12.2008,24.08.2009,Henkilökohtainen varajäsen
Kallimo Kati,KESK,32. Vaalilautakunta,24.03.2011,17.04.2011,5. varajäsen
Kallimo Kati,KESK,32. Vaalilautakunta,08.12.2011,05.02.2012,5. varajäsen
Kalliokoski Sami-Pekka,KD,9. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
Kalliokoski Sami-Pekka,KD,9. Vaalilautakunta,08.12.2011,05.02.2012,Jäsen
Kalliomaa Sami,KESK,Jyväskylän Seudun Työterveyden jk,19.01.2009,31.03.2011,Henkilökohtainen varajäsen
Kaltiainen-Heinola Kaarina,KD,Käräjäoikeuden lautamiehet,01.01.2005,31.03.2009,Jäsen
Kaltiainen-Heinola Kaarina,KD,5. Vaalilautakunta,27.04.2009,07.06.2009,Jäsen
Kaltiainen-Heinola Kaarina,KD,5. Vaalilautakunta,24.03.2011,17.04.2011,Jäsen
